Date,Vendor Code,Vendor,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,,,,
1/9/2024,VFP,Village Food Pantry,SJ,,,CCFN,,16.00,72.00,,,68.00,,0.00,,156.00,,,,
1/10/2024,BRE,Bremen Schools,MAR,,,Backpack,,,,,,,,375.00, 300.00 ,375.00,,,,
1/10/2024,CTA,Christ Temple Apostolic Church,SJ,,,CCFN,883.00,,377.00,377.00,,,,0.00,,"1,637.00",,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,3.00,,15.00,,0.00,,18.00,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,90.00,0.00,,90.00,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,199.50,0.00,,199.50,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,403.50,0.00,,403.50,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,289.00,160.00,144.00,,,204.00,,0.00,,797.00,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,0.75,,1.50,,0.00,,2.25,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,26.25,0.00,,26.25,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,24.00,,,,16.00,0.00,,40.00,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,17.00,,,34.00,,0.00,,96.00,,,,
1/10/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,,,,,,,127.00,0.00,,127.00,,,,
1/10/2024,KBI,Kingdom Business International,SJ,,,CCFN,250.00,80.00,210.00,,,204.00,449.00,0.00,,"1,193.00",,,,
1/10/2024,MIL,Milford Food Bank,ELK,,,CCFN,,,,,,,858.00,0.00,,858.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,,,,30.00,,,0.00,,30.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,32.00,,,150.00,48.00,,0.00,,230.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,400.00,48.00,,,,,0.00,,448.00,,,,
1/10/2024,NIA,Northern Indiana Atheists,SJ,,,CCFN,,,36.00,,,,133.00,0.00,,169.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,30.00,,,,,,,0.00,,30.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,,,,,,,256.00,0.00,,256.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,,16.00,,,14.00,,316.50,0.00,,346.50,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,353.00,,25.75,,,136.00,,0.00,,514.75,,,,
1/10/2024,OTH,Other,SJ,Valeries Day Care,,CCFN,,,72.00,,,,,0.00,,72.00,,,,
1/10/2024,OTH,Other,OTH,,,CCFN,,,,27.00,14.00,,68.00,0.00,,109.00,,,,
1/10/2024,OTH,Other,SJ,Valeries Day Care,,CCFN,,,36.00,,,,339.00,0.00,,375.00,,,,
1/10/2024,RCLC,Robinson Community Learning Center,SJ,,,CCFN,,,,,,68.00,,0.00,,68.00,,,,
1/10/2024,SALVSJ,"Salvation Army: St Joe, Kroc Center",SJ,,,CCFN,,,,,,170.00,,0.00,,170.00,,,,
1/10/2024,SG,Saving Grace,ELK,,,CCFN,45.00,,6.00,,,,,0.00,,51.00,,,,
1/10/2024,SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,,,Backpack,,,,,,,,712.50, 570.00 ,712.50,,,,
1/10/2024,STA,St Augustine's Parish,SJ,,,CCFN,,,,,136.80,,,0.00,,136.80,,,,
1/10/2024,SJL,St. Joe Library,SJ,,,CCFN,,,,,,,,202.50, 162.00 ,202.50,,,,
1/10/2024,SJHD,St. Joe: Health Department ,SJ,,,CCFN,90.00,,122.00,43.50,25.00,136.00,,0.00,,416.50,,,,
1/10/2024,MLF,The Miracle Lyfe Foundation,SJ,,,CCFN,83.00,,,,,,,0.00,,83.00,,,,
1/10/2024,VINE,Vineyard Church,SJ,,,CCFN,,,3.00,,,34.00,,0.00,,37.00,,,,
1/10/2024,WANE,Wa-Nee Community Schools,ELK,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,,,,
1/10/2024,WCC,Westside Church of Christ,SJ,,,CCFN,,,,,18.75,,48.00,0.00,,66.75,,,,
1/10/2024,WHC,World Harvest Church,ELK,,,CCFN,424.00,,424.00,424.00,,,,0.00,,"1,272.00",,,,
1/10/2024,OTH,,SJ,Valeries Day Care,,CCFN,225.00,,72.00,,,,,0.00,,297.00,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,,,,0.00,,0.00,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,24.00,,,,,0.00,,24.00,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,24.00,,,,,0.00,,24.00,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,Goshen,,Backpack,,,,,,,,75.00, 60.00 ,75.00,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,18.75,,252.00,0.00,,270.75,,,,
1/11/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,middlebury,,CCFN,,,,,,,222.00,0.00,,222.00,,,,
1/11/2024,CUMC,Calvary United Methodist Church,ELK,,,CCFN,,,,,,,,0.00,,0.00,,,,
1/11/2024,CUMC,Calvary United Methodist Church,ELK,,,CCFN,160.00,,,,,,56.50,0.00,,216.50,,,,
1/11/2024,CUMC,Calvary United Methodist Church,ELK,,,CCFN,,,,,30.00,,294.00,0.00,,324.00,,,,
1/11/2024,CUMC,Calvary United Methodist Church,ELK,,,CCFN,,,144.00,,,204.00,90.00,0.00,,438.00,,,,
1/11/2024,CAPS,Child & Parent Services (CAPS),ELK,,,Backpack,,,,,,,,240.00, 192.00 ,240.00,,,,
1/11/2024,CTA,Christ Temple Apostolic Church,SJ,,,CCFN,,,,,,,450.00,0.00,,450.00,,,,
1/11/2024,CCFP,Clay Church Food Pantry,SJ,,,CCFN,,,,,350.00,,,0.00,,350.00,,,,
1/11/2024,CCFP,Clay Church Food Pantry,SJ,,,CCFN,,,,,,,,375.00, 300.00 ,375.00,,,,
1/11/2024,CCFP,Clay Church Food Pantry,SJ,,,CCFN,,,,,350.00,,,375.00, 300.00 ,725.00,,,,
1/11/2024,CON,Concord: South Side,ELK,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,,,,
1/11/2024,CON,Concord: West Side,ELK,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,,,,
1/11/2024,ELK,Elkhart Schools: Bristol,ELK,,,Backpack,,,,,,,,465.00, 372.00 ,465.00,,,,
1/11/2024,ELK,Elkhart Schools: Cleveland Elementary,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,,,,
1/11/2024,ELK,Elkhart Schools: Eastwood Elementary,ELK,,,Backpack,,,,,,,,150.00, 120.00 ,150.00,,,,
1/11/2024,ELK,Elkhart Schools: Mary Daly,ELK,,,Backpack,,,,,,,,315.00, 252.00 ,315.00,,,,
1/11/2024,ELK,Elkhart Schools: Mary Feeser ,ELK,,,Backpack,,,,,,,,75.00, 60.00 ,75.00,,,,
1/11/2024,ELK,Elkhart Schools: Pace Preschool/Hawthorne,ELK,,,Backpack,,,,,,,,360.00, 288.00 ,360.00,,,,
1/11/2024,ELK,Elkhart Schools: Pride Academy,ELK,,,Backpack,,,,,,,,22.50, 18.00 ,22.50,,,,
1/11/2024,ELK,Elkhart Schools: Riverview,ELK,,,Backpack,,,,,,,,195.00, 156.00 ,195.00,,,,
1/11/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,44.00,,,34.00,1.00,0.00,,124.00,,,,
1/11/2024,FAF,Feed A Friend,SJ,,,CCFN,,,24.00,,,,153.00,0.00,,177.00,,,,
1/11/2024,GCS,Goshen Schools: Chamberlain Elementary,ELK,,,Backpack,,,,,,,,45.00, 36.00 ,45.00,,,,
1/11/2024,GCS,Goshen Schools: Goshen Intermediate ,ELK,,,Backpack,,,,,,,,75.00, 60.00 ,75.00,,,,
1/11/2024,GCS,Goshen Schools: Model Elementary,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,,,,
1/11/2024,GCS,Goshen Schools: Parkside Elementary,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,,,,
1/11/2024,GCS,Goshen Schools: Prairie View Elementary,ELK,,,Backpack,,,,,,,,90.00, 72.00 ,90.00,,,,
1/11/2024,GCS,Goshen Schools: Waterford Elementary,ELK,,,Backpack,,,,,,,,127.50, 102.00 ,127.50,,,,
1/11/2024,GCS,Goshen Schools: West Goshen Elementary,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,,,,
1/11/2024,GHG,Greater Harvest Full Gospel Church,OTH,,,CCFN,,,,,,,70.00,0.00,,70.00,,,,
1/11/2024,GHG,Greater Harvest Full Gospel Church,OTH,,,CCFN,,,,,,,128.50,0.00,,128.50,,,,
1/11/2024,GHG,Greater Harvest Full Gospel Church,OTH,,,CCFN,225.00,,,,,,90.00,0.00,,315.00,,,,
1/11/2024,GRIS,Grissom Middle School,SJ,,,Backpack,,,,,,,,22.50, 18.00 ,22.50,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,,,,,,,5.25,0.00,,5.25,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,,,,,,,27.00,0.00,,27.00,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,90.00,,,,,,,0.00,,90.00,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,,,,,18.75,,96.00,0.00,,114.75,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,,,160.25,,,,,0.00,,160.25,,,,
1/11/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,,,,,168.00,,,150.00, 120.00 ,318.00,,,,
1/11/2024,HCH,Heart City Health - Scenic,ELK,,,CCFN,,,,,,,,90.00, 72.00 ,90.00,,,,
1/11/2024,HCH,Heart City Health - Simpson,ELK,,,CCFN,,,,,,,,187.50, 150.00 ,187.50,,,,
1/11/2024,HCH,Heart City Health - WH,ELK,,,CCFN,,,,,,,,52.50, 42.00 ,52.50,,,,
1/11/2024,LTC,Life Treatment Center (wants to remain ANON),SJ,,,CCFN,,,,,,,180.00,0.00,,180.00,,,,
1/11/2024,LYD,Lydick UMC,SJ,,,CCFN,154.00,,,,,204.00,,0.00,,358.00,,,,
1/11/2024,MCA,Marshall County Council on Aging,MAR,,,CCFN,,,,,,,,75.00, 60.00 ,75.00,,,,
