,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,0,562.5,450,562.5,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,0,0,36,0,130,0,409.75,150,120,725.75,78,0,
DC,David's Courage,SJ,0,0,CCFN,0,0,0,0,14,0,0,0,0,14,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,0,0,48,0,0,3.25,263.5,0,0,314.75,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,0,0,72,0,90,135,441,150,120,888,78,0,
KKH,Karl King Riverbend Tower,SJ,0,0,CCFN,271.38,174,36,0,31.88,26,969.35,0,0,1508.61,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,0,36,0,280,0,242,300,240,858,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,119,60,52,0,87.63,117.5,1012.5,150,120,1598.63,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
WES,Walkerton Elementary School,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,27.5,0,36,0,0,46.5,556.35,0,0,666.35,78,0,
BCP,Broadway Christian Parish Church,SJ,0,0,CCFN,0,0,0,0,168,120,120.5,187.5,150,596,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,0,0,10,0,100,72,0,225,0,407,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,0,0,0,0,0,0,32,0,0,32,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,0,84,0,0,0,0,84,78,0,
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,0,0,0,0,0,0,57.25,0,0,57.25,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,12,0,15,16,70,60,48,173,78,0,"911 California Ave, South Bend, IN 46616"
HC,Heros Camp,SJ,0,0,CCFN,0,0,36,0,0,0,164,0,0,200,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,100,0,106,0,30,128,340.25,45,36,749.25,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
NDIC,New Day Intake Center,SJ,0,0,CCFN,0,0,0,0,15,152.5,150.25,37.5,30,355.25,78,0,
OSH,Oak Street Health,SJ,0,0,CCFN,0,0,0,0,0,0,0,15,12,15,78,0,
SAP,St. Augustine's Parish,SJ,0,0,CCFN,0,0,0,0,126,0,0,0,0,126,78,0,1501 W Washington St
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,0,0,37.5,0,0,37.5,78,0,
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,85,0,0,0,0,0,165.75,0,0,250.75,78,0,
STVINC,St. VIncent de Paul: Holy Cross,ELK,0,0,CCFN,0,0,0,0,0,0,0,75,60,75,78,0,
VNI,VA Northern Indiana,SJ,0,0,CCFN,0,0,0,0,0,0,0,22.5,18,22.5,78,0,
BMG,Beacon Medical Group E Blair Warner,SJ,0,0,CCFN,0,0,0,0,0,0,0,150,120,150,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,61.6,0,0,0,0,61.6,78,0,"911 California Ave, South Bend, IN 46616"
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,0,0,0,44.8,0,0,0,0,44.8,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,0,0,0,0,5.6,0,0,0,0,5.6,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,22.4,0,0,0,0,22.4,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,60,0,0,0,0,60,78,0,
BGCN,Boys & Girls Club Nappanee,ELK,0,0,Backpack,0,0,12,0,0,0,104,0,0,116,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,0,0,0,0,480,135,159.5,0,0,774.5,78,0,"6770 N Michigan St, Plymouth, IN 46563"
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,38,0,0,0,0,38,78,0,
BGBFP,Grace Bible Baptist Food Pantry,ELK,0,0,CCFN,84,90,252,150,103,104.5,434.6,0,0,1218.1,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,0,0,36,0,123.63,132.5,474.75,0,0,766.88,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,36,0,280,0,226,0,0,542,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,42,0,377,0,0,419,78,0,
BS,Bremen Schools,MAR,0,0,Backpack,0,0,0,0,0,0,0,375,300,375,78,0,"512 W Grant St, Bremen, IN 46506"
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
RA,Robertsons Apartments,SJ,0,0,CCFN,35,20,169,72,45,232.5,1073.35,75,60,1721.85,78,0,"211 S Michigan St, South Bend, IN 46601"
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,262.5,210,262.5,78,0,
TC,The Center,ELK,0,0,CCFN,0,0,12,0,28,0,126,112.5,90,278.5,78,0,
RA,Rushton Apartments,SJ,0,0,CCFN,0,0,0,0,0,0,60.75,30,24,90.75,78,0,"501 W W Washington St, South Bend, IN 46601"
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,24,0,0,0,198,45,36,267,78,0,"900 W Western Ave, South Bend, IN 46601"
STVINC,St. Vincent de Paul: St Matthew,ELK,0,0,CCFN,0,0,0,0,0,0,66,37.5,30,103.5,78,0,
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,31,0,16,0,8.25,22.5,18,77.75,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,0,0,0,0,0,348.8,0,0,348.8,78,0,
TO,Thee Outlet,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,"22500 US-20 Suite B, South Bend, IN, United States, 46628"
UG,Unity Gardens,SJ,0,0,CCFN,0,0,0,0,15,0,30.75,22.5,18,68.25,78,0,
VNI,VA Northern Indiana,SJ,0,0,CCFN,0,50,0,0,0,28.75,25,105,84,208.75,78,0,
0,Young Women's Christian Association,SJ,0,0,CCFN,0,0,0,0,0,47.25,368,0,0,415.25,78,0,
CFS,Cultivate Food Rescue,SJ,0,0,CCFN,0,0,0,0,336,0,0,0,0,336,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,53.2,0,0,0,0,53.2,78,0,
CCCFP,Christian Center Church,SJ,0,0,CCFN,0,0,0,0,53.2,0,0,0,0,53.2,78,0,"530 E Ireland Rd, South Bend, IN 46614"
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,0,0,0,0,0,19.5,60.5,0,0,80,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,41,0,20,0,19,0,0,0,0,80,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,9,0,0,0,154.5,0,0,163.5,78,0,
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,0,70,0,0,0,75.48,230.25,0,0,375.73,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,12,0,15,48.5,66.5,60,48,202,78,0,"911 California Ave, South Bend, IN 46616"
PTC,Peace Temple Church,SJ,0,0,CCFN,0,0,36,0,0,0,318.35,0,0,354.35,78,0,
RMH,Ronald Mcdonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,7.5,6,7.5,78,0,
RMH,Ronald McDonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,325,260,325,78,0,
BGCMI,Boys & GIrls Club Middlebury,ELK,0,0,Backpack,0,0,0,0,0,0,147,0,0,147,78,0,
ESB,Elkhart Schools: Bristol,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
GSCE,Goshen Schools: Chamberlain Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,52.5,42,52.5,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,350,0,106,562.5,450,1018.5,78,0,
ESCE,Elkhart Schools: Cleveland Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
CSO,Concord: South Side,ELK,0,0,Backpack,0,0,0,0,0,0,0,195,156,195,78,0,
ESEE,Elkhart Schools: Eastwood Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,127.5,102,127.5,78,0,
FFC,Family Resource Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
GSHS,Goshen Schools: High School,ELK,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,0,0,18,0,181,200,330,0,0,729,78,0,
HCHS,Heart City Health - Scenic,ELK,0,0,Backpack,0,0,0,0,0,0,0,90,72,90,78,0,
HCHSN,Heart City Health - Simpson,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
ESMD,Elkhart Schools: Mary Daly,ELK,0,0,Backpack,0,0,0,0,0,0,0,247.5,198,247.5,78,0,
ESMF,Elkhart Schools: Mary Feeser,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,0,0,0,0,310,29.75,33,375,300,747.75,78,0,
GSME,Goshen Schools: Model Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
NRMS,Northridge Middle School,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
ESPH,Elkhart Schools: Pace Preschool/Hawthorne,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
GSPE,Goshen Schools: Parkside Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
GPVE,Goshen Schools: Prairie View Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,75,60,75,78,0,
PAA,Premier Arts Academy,ELK,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
ESR,Elkhart Schools: Riverview,ELK,0,0,Backpack,0,0,0,0,0,0,0,172.5,138,172.5,78,0,
SAE,Salvation Army: Elkhart,ELK,0,0,CCFN,0,0,45,0,15,163,82.5,112.5,90,418,78,0,
SAG,"Salvation Army North Main Street, Goshen, IN",ELK,0,0,CCFN,0,0,0,0,0,0,90,0,0,90,78,0,
SMH,St. Margaret's House,SJ,0,0,CCFN,0,0,0,0,0,0,0,262.5,210,262.5,78,0,
STVINC,St Vincent de Paul Pastoral Center,SJ,0,0,CCFN,0,0,0,0,0,0,0,450,360,450,78,0,"428 Melcher Ave, Elkhart, IN 46516"
THB,Bristol Community Food Pantry,ELK,0,0,CCFN,0,0,90,0,112,20.25,231.5,300,240,753.75,78,0,
TW,The Window,ELK,0,0,CCFN,0,0,0,0,0,0,318.5,150,120,468.5,78,0,"223 S Main St, Goshen, IN 46526"
TC,Tolson Center,ELK,0,0,CCFN,0,0,0,0,0,0,0,225,180,225,78,0,
GSWE,Goshen Schools: Waterford Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
GSWGE,Goshen Schools: West Goshen Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,67.5,54,67.5,78,0,
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,0,0,0,0,112,135,465,750,600,1462,78,0,
CM,Camp Millhouse,SJ,0,0,CCFN,0,0,0,0,0,0,153.63,0,0,153.63,78,0,
CCCFP,Christian Center Church,SJ,0,0,CCFN,13,0,36,0,15,0,47.5,45,36,156.5,78,0,"530 E Ireland Rd, South Bend, IN 46614"
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,15,54,140.25,0,0,209.25,78,0,"911 California Ave, South Bend, IN 46616"
GSJMBC,Greater St. John MBC,SJ,0,0,CCFN,100,0,69,0,30,64,141,0,0,404,78,0,v
0,Indiana Health Centers,SJ,0,0,CCFN,0,0,0,0,0,0,20,75,60,95,78,0,
MVC,Miami Village Church,SJ,0,0,CCFN,14,0,0,0,0,6.75,170.75,0,0,191.5,78,0,"1905 Miami St, South Bend, IN 46613"
OSH,Oak Street Health,SJ,0,0,CCFN,0,0,0,0,0,0,0,75,60,75,78,0,
OPSHE,Oaklawn Psychiatric Center,ELK,0,0,CCFN,0,0,0,0,52,19.5,348.5,0,0,420,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,5.25,0,0,0,0,37.5,184.75,45,36,272.5,78,0,
STVINC,St Vincent de Paul Pastoral Center,ELK,0,0,CCFN,0,0,36,0,0,64,433,150,120,683,78,0,"428 Melcher Ave, Elkhart, IN 46516"
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,53.2,0,0,0,0,53.2,78,0,"911 California Ave, South Bend, IN 46616"
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,74,0,0,0,0,55,302,0,0,431,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,50,0,0,25,200,0,213,0,0,488,78,0,
CFS,Cultivate Food Rescue,SJ,0,0,CCFN,27,0,0,0,0,0,0,0,0,27,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,0,0,0,8.4,0,0,0,0,8.4,78,0,
STVINC,St. Vincent de Paul: School,ELK,0,0,CCFN,0,0,0,0,0,0,0,450,360,450,78,0,"1720 E Wallen Rd, Fort Wayne, IN 46825"
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,63.88,40,78,36,55,81.5,110.75,0,0,465.13,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,0,40.5,63.25,60,48,163.75,78,0,"911 California Ave, South Bend, IN 46616"
KBI,Kingdom Business International,SJ,0,0,CCFN,100,0,36,0,0,56.5,148.5,22.5,18,363.5,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
OSH,Oak Street Health,SJ,0,0,CCFN,0,0,0,0,0,0,41.75,0,0,41.75,78,0,
OPSHG,Oaklawn Psychiatric Center - Lakview Drive,ELK,0,0,CCFN,0,0,58,0,0,0,217,0,0,275,78,0,
VNI,VA Northern Indiana,SJ,0,0,CCFN,0,0,0,0,0,27,30,202.5,162,259.5,78,0,
VM,Valerie's Ministry,SJ,0,0,CCFN,14.5,0,106,0,29,207,933.75,0,0,1290.25,78,0,
CA,Career Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,300,240,300,78,0,
SBCS,South Bend Community Schools: Clay Intermediate,SJ,0,0,Backpack,0,0,0,0,0,0,0,525,420,525,78,0,
SBCS,South Bend Community Schools: Darden,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
SBCS,South Bend Community Schools: Edison,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
GMS,Grissom Middle School,SJ,0,0,Backpack,0,0,0,0,0,0,0,90,72,90,78,0,
MTS,Marshall Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,240,192,240,78,0,
MHA,Miami Hills Apartments,SJ,0,0,CCFN,18,0,0,0,21,0,20,0,0,59,78,0,
SBCS,South Bend Community Schools: Navarre,SJ,0,0,Backpack,0,0,36,0,0,13.5,33,37.5,30,120,78,0,
SBCS,South Bend Community Schools: Nuner Elementary,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
PSB,Paramount South Bend,SJ,0,0,Backpack,0,0,0,0,0,0,0,37.5,30,37.5,78,0,
RL,Resurrection Lutheran,SJ,0,0,CCFN,0,0,0,0,0,0,0,45,36,45,78,0,
STC,S A K A L the Center,ELK,0,0,CCFN,88.13,90,162,25,129,314.48,966.1,0,0,1774.71,78,0,
STS,Swanson Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,157.5,126,157.5,78,0,
TMLF,"1323 Miami , South Bend, IN, United States, Indiana",SJ,0,0,CCFN,0,0,0,0,29,329,669,300,240,1327,78,0,
SBCS,South Bend Community Schools: Wilson,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
MVC,Miami Village Church,SJ,0,0,CCFN,0,0,0,0,2.8,0,0,0,0,2.8,78,0,"1905 Miami St, South Bend, IN 46613"
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,86.8,0,0,0,0,86.8,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,0,0,0,36.4,0,0,0,0,36.4,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,0,0,0,0,86.8,0,0,0,0,86.8,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,19.6,0,0,0,0,19.6,78,0,"911 California Ave, South Bend, IN 46616"
LYD,Lydick United Methodist Church,SJ,0,0,CCFN,0,0,0,0,5.6,0,0,0,0,5.6,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,88,3,0,69,73,13,22,0,0,268,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,11.2,0,0,0,0,11.2,78,0,"911 California Ave, South Bend, IN 46616"
MTS,Marshall Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,240,192,240,78,0,
SAE,Salvation Army: Elkhart,ELK,0,0,CCFN,28830,0,0,0,0,0,0,0,0,28830,78,0,
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,9.8,0,0,0,0,9.8,78,0,
OPSHE,Oaklawn Psychiatric Center,ELK,0,0,CCFN,0,0,0,0,5.6,0,0,0,0,5.6,78,0,
CR,Crossroad Recovery,ELK,0,0,Backpack,0,0,0,0,56,0,0,0,0,56,78,0,"57415 Alpha Dr, Goshen, IN 46528"
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,0,0,0,0,56,0,0,0,0,56,78,0,
OPC,Oaklawn Psychiatric Center,SJ,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,0,0,0,0,5.6,0,0,0,0,5.6,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,11.2,0,0,0,0,11.2,78,0,"911 California Ave, South Bend, IN 46616"
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,16.8,0,0,0,0,16.8,78,0,
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,25,0,16,0,0,0,391,150,120,582,78,0,
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
DC,David's Courage,SJ,0,0,CCFN,0,0,0,0,14,0,0,0,0,14,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,0,50,12,0,0,0,64.25,0,0,126.25,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,0,0,96,0,0,0,679,0,0,775,78,0,
KKH,Karl King Riverbend Tower,SJ,0,0,CCFN,150.25,90,44,72,29,80,795.25,225,180,1485.5,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,0,0,0,280,0,250,0,0,530,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,0,12,132,150,120,294,78,0,
WES,Walkerton Elementary School,SJ,0,0,Backpack,0,0,0,0,0,0,0,337.5,270,337.5,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,0,0,0,0,0,0,56.75,15,12,71.75,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,106,0,24,0,0,0,820.13,0,0,950.13,78,0,
BCP,Broadway Christian Parish Church,SJ,0,0,CCFN,0,0,0,0,168,67.5,110,150,120,495.5,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,107.13,0,0,0,0,0,351.25,7.5,6,465.88,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,0,84,0,0,0,0,84,78,0,
CFS,Cultivate Food Rescue,SJ,0,0,CCFN,0,0,0,0,0,0,55,0,0,55,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,15,27,97.5,30,24,169.5,78,0,"911 California Ave, South Bend, IN 46616"
LTC,Life Treatment Center (wants to remain ANON),SJ,0,0,CCFN,0,0,12,0,0,0,227,0,0,239,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
NDIC,New Day Intake Center,SJ,0,0,CCFN,63,0,24,0,0,18,446.25,45,36,596.25,78,0,
OSH,Oak Street Health,SJ,0,0,CCFN,0,0,0,0,0,0,59,37.5,30,96.5,78,0,
OP,Oaklawn,SJ,0,0,CCFN,26,87.5,4,0,1.69,14.5,152,0,0,285.69,78,0,"415 E Madison St, South Bend, IN 46617"
OLOTR,Our Lady of the Road,SJ,0,0,CCFN,0,0,50,0,0,0,15,0,0,65,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,63,0,0,0,8.44,0,232.5,22.5,18,326.44,78,0,
SAP,St. Augustine's Parish,SJ,0,0,CCFN,0,0,0,0,126,0,0,0,0,126,78,0,1501 W Washington St
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,0,0,19,0,0,19,78,0,
TM,Transformation Ministries,SJ,0,0,CCFN,63,0,0,0,0,0,237,0,0,300,78,0,"1101 King St, South Bend, IN 46616"
LTC,Life Treatment Center (wants to remain ANON),SJ,0,0,CCFN,0,0,0,0,44.8,0,0,0,0,44.8,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,33.6,0,0,0,0,33.6,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,22.4,0,0,0,0,22.4,78,0,"911 California Ave, South Bend, IN 46616"
IUSB,IUSB: Titans Feeding Titans,SJ,0,0,CCFN,0,0,0,0,11.2,0,0,0,0,11.2,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,0,0,0,23.8,0,0,0,0,23.8,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,0,0,0,23.8,0,0,0,0,23.8,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,20,131,148,0,23,120,0,0,0,442,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
BGCN,Boys & Girls Club Nappanee,ELK,0,0,Backpack,0,50,12,0,8.44,0,401,0,0,471.44,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,63,0,140,0,420,0,1008.25,300,240,1931.25,78,0,"6770 N Michigan St, Plymouth, IN 46563"
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,50,0,0,0,0,50,78,0,
BGBFP,Grace Bible Baptist Food Pantry,ELK,0,0,CCFN,122,50,64,0,14.19,12.48,629.75,225,180,1117.42,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,112.5,50,140,0,102,200,537.38,75,60,1216.88,78,0,
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,262.5,210,262.5,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,0,309,0,170,150,120,629,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,82,0,0,0,42,0,136.5,37.5,30,298,78,0,
RA,Robertsons Apartments,SJ,0,0,CCFN,185,50,92,0,20.94,368.5,1156,75,60,1947.44,78,0,"211 S Michigan St, South Bend, IN 46601"
TC,The Center,ELK,0,0,CCFN,42,0,120,0,45.19,0,219,90,72,516.19,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,82,0,0,0,0,0,136.5,0,0,218.5,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,50,0,0,0,12,0,0,0,0,62,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,18.75,45,30,24,93.75,78,0,
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,82,0,0,0,29,120,460,0,0,691,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,41,0,0,0,0,0,111.75,60,48,212.75,78,0,"911 California Ave, South Bend, IN 46616"
IUSB,IUSB: Titans Feeding Titans,SJ,0,0,CCFN,122,0,0,0,0,0,219,0,0,341,78,0,
RMH,Ronald McDonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,7.5,6,7.5,78,0,
RA,Rushton Apartments,SJ,0,0,CCFN,0,0,0,0,0,0,70.75,52.5,42,123.25,78,0,"501 W W Washington St, South Bend, IN 46601"
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,113.5,0,36,0,0,0,223.56,45,36,418.06,78,0,"900 W Western Ave, South Bend, IN 46601"
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,41,0,0,0,0,0,118.5,0,0,159.5,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,84.25,140,28,0,76.44,6,771.5,0,0,1106.19,78,0,
TO,Thee Outlet,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,"22500 US-20 Suite B, South Bend, IN, United States, 46628"
VNI,VA Northern Indiana,SJ,0,0,CCFN,41,0,0,0,0,0,0,150,120,191,78,0,
0,Young Women's Christian Association,SJ,0,0,CCFN,103,0,52,0,14.19,0,1056.25,0,0,1225.44,78,0,
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,84,0,0,0,0,84,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,0,0,0,0,350,0,0,0,0,350,78,0,
MFB,Milford Food Bank,ELK,0,0,CCFN,1605,0,0,0,0,0,2791,2625,2100,7021,78,0,
BGCMI,Boys & GIrls Club Middlebury,ELK,0,0,Backpack,41,20,0,0,0,0,284.25,0,0,345.25,78,0,
ESB,Elkhart Schools: Bristol,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
GSCE,Goshen Schools: Chamberlain Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,52.5,42,52.5,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,350,0,0,562.5,450,912.5,78,0,
ESCE,Elkhart Schools: Cleveland Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,67.5,54,67.5,78,0,
CSO,Concord: South Side,ELK,0,0,Backpack,0,0,0,0,0,0,0,135,108,135,78,0,
ESEE,Elkhart Schools: Eastwood Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,127.5,102,127.5,78,0,
