,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
OC,Oakhaven Community,MAR,0,0,CCFN,128,0,6,37,16,11.5,44,0,0,242.5,78,0,"500 S Montgomery St, Bremen, IN 46506"
RPUMC,River Park UMC,SJ,0,0,CCFN,0,144,0,0,0,0,0,0,0,144,78,0,
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,0,27.5,0,0,33,30,24,90.5,78,0,"900 W Western Ave, South Bend, IN 46601"
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
TC,The Center,ELK,0,0,CCFN,0,100,0,0,18,48,77,0,0,243,78,0,
UG,Unity Gardens,SJ,0,0,CCFN,0,0,0,5.8,0,0,0,30,24,35.8,78,0,
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,20.2,0,17,55,23,69,85,0,0,269.2,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,318,144,192,453,336,324,912,150,120,2829,78,0,"6770 N Michigan St, Plymouth, IN 46563"
BS,Bremen Schools,MAR,0,0,Backpack,0,0,0,0,0,0,0,375,300,375,78,0,"512 W Grant St, Bremen, IN 46506"
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,270.7,74,21,37,0,82.5,238.3,75,60,798.5,78,0,
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,24,0,0,0,0,24,78,0,
MFB,Milford Food Bank,ELK,0,0,CCFN,0,0,0,0,0,0,10997,0,0,10997,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,10.5,100,0,135,0,0,0,45,36,290.5,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
