Date,Vendor Code,Column3,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,,,
1/16/2025,HCHSN,Heart City Health - Simpson,ELK,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,78,,,,
1/16/2025,RA,Rushton Apartments,SJ,,,CCFN,,111.00,137.00,29.00,,61.80,195.70,0.00,,534.50,78,,,,
1/16/2025,MBFP,Middlebury Food Pantry,ELK,,,CCFN,159.00,,70.00,,,69.00,393.00,0.00,,691.00,78,,,,
1/16/2025,STVINC,St. Vincent de Paul: Center,ELK,,,CCFN,,,50.00,223.50,,,687.80,150.00, 120.00 ,"1,111.30",78,,,,
1/16/2025,OSH,Oak Street Health,SJ,,,CCFN,,,,,,,,37.50, 30.00 ,37.50,78,,,,
1/16/2025,WHCP,World Harvest Church Pantry ,ELK,,,CCFN,,,,,112.00,,,0.00,,112.00,78,,,,
1/16/2025,CLAY,Clay UMC Food Pantry ,SJ,,,CCFN,,,,49.50,,28.70,70.00,0.00, -   ,148.20,78,,,,
1/16/2025,CLAY,Clay UMC Food Pantry ,SJ,,,CCFN,,,,,350.00,,,375.00, 300.00 ,725.00,78,,,,
1/16/2025,CES,Concord: East Side,ELK ,,,Backpack,,,,,,,,97.50, 78.00 ,97.50,78,,,,
1/16/2025,CONOB,Concord: Ox Bow,ELK ,,,Backpack,,,,,,,,157.50, 126.00 ,157.50,78,,,,
1/16/2025,PAA,Premier Arts Academy,ELK,,,Backpack,,,,,,,,337.50, 270.00 ,337.50,78,,,,
1/16/2025,MBFP,Middlebury Food Pantry,ELK,,,CCFN,,,,,280.00,,,375.00, 300.00 ,655.00,78,,,,
1/16/2025,WCOC,Westside Church of Christ,SJ,,,CCFN,,96.00,,,,,,0.00,,96.00,78,,,,
1/16/2025,SAG,Salvation Army: Goshen,ELK,,,CCFN,,144.00,,,,,,0.00,,144.00,78,,,,
