Date,Vendor Code,Vendor,County,"Notes for ""Other",Order #,Program,Protein LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indiv Meal LBS,Indiv Meals,Total Pounds," 8,093,927.70 ",,,,,,,,
1/11/2023,,Marshall County Neighborhood Center,Marshall,,5267,CCFN,,,,,20,,50,,,70,,,,,,,,,
1/11/2023,,Marshall County Neighborhood Center,Marshall,,5302,CCFN,17.5,,,,,141.9,310,,,469.4,,,,,,,,,
1/11/2023,,Marshall County Neighborhood Center,Marshall,,5428,CCFN,,,6.6,,,,15,,,21.6,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5382,CCFN,29,,,,,29.8,159,,,217.8,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5398,CCFN,72.5,,,,,115,593,,,780.5,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5399,CCFN,,,,,,48,118,,,166,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5406,CCFN,,,,,,,35,,,35,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5439,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5439,CCFN,116,,16.1,106,11.4,330,195.8,,,775.3,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5442,Backpack,,,,,,,,67.5,54,67.5,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5442,CCFN,9.5,,,,,,11.5,,,21,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5443,CCFN,3,,,,1.6,,169.6,,,174.2,,,,,,,,,
1/11/2023,,Monastery of the Holy Martyrs,St. Joseph,,5457,CCFN,20,,,27,,,61.8,,,108.8,,,,,,,,,
1/11/2023,,Nappanee Open Door,Elkhart,,5310,CCFN,,,,,,75,412,,,487,,,,,,,,,
1/11/2023,,Nappanee Open Door,Elkhart,,5363,CCFN,,,,,,,235,,,235,,,,,,,,,
1/11/2023,,Nappanee Open Door,Elkhart,,5404,CCFN,,,,,,,179.3,,,179.3,,,,,,,,,
1/11/2023,,Oaklawn Properties,St. Joseph,,5357,CCFN,,,,,,2,93,,,95,,,,,,,,,
1/11/2023,,Oaklawn Properties,St. Joseph,,5393,CCFN,,,,,,75,96,,,171,,,,,,,,,
1/11/2023,,Oaklawn Properties,St. Joseph,,5448,CCFN,39.8,,6.9,7.1,20,33,46.3,,,153.1,,,,,,,,,
